model,url,num_classes,input_size,pool_size,crop_pct,interpolation,mean,std,first_conv,classifier,has_aux,label_offset,architecture,min_input_size,fixed_input_size,test_input_size,hf_hub
inception_v3,https://download.pytorch.org/models/inception_v3_google-1a9a5a14.pth,1000,"(3, 299, 299)","(8, 8)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",Conv2d_1a_3x3.conv,fc,True,,inception_v3,,,,
inception_v4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-cadene/inceptionv4-8e4777a0.pth,1000,"(3, 299, 299)","(8, 8)",0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",features.0.conv,last_linear,,1.0,inception_v4,,,,
lambda_resnet26t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,lambda_resnet26t,"(3, 128, 128)",False,,
lambda_resnet50t,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,lambda_resnet50t,"(3, 128, 128)",False,,
legacy_senet154,http://data.lip6.fr/cadene/pretrainedmodels/senet154-c7b49a05.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_senet154,,,,
legacy_seresnet18,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/seresnet18-4bb0ce65.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnet18,,,,
legacy_seresnet34,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/seresnet34-a4004e63.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnet34,,,,
legacy_seresnet50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-cadene/se_resnet50-ce0d4300.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnet50,,,,
legacy_seresnet101,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-cadene/se_resnet101-7e38fcc6.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnet101,,,,
legacy_seresnet152,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-cadene/se_resnet152-d17c99b7.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnet152,,,,
legacy_seresnext26_32x4d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/seresnext26_32x4d-65ebdb501.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnext26_32x4d,,,,
legacy_seresnext50_32x4d,http://data.lip6.fr/cadene/pretrainedmodels/se_resnext50_32x4d-a260b3a4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnext50_32x4d,,,,
legacy_seresnext101_32x4d,http://data.lip6.fr/cadene/pretrainedmodels/se_resnext101_32x4d-3b2fe3d8.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",layer0.conv1,last_linear,,,legacy_seresnext101_32x4d,,,,
levit_128,https://dl.fbaipublicfiles.com/LeViT/LeViT-128-b88c2750.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.0.c,"('head.l', 'head_dist.l')",,,levit_128,,True,,
levit_128s,https://dl.fbaipublicfiles.com/LeViT/LeViT-128S-96703c44.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.0.c,"('head.l', 'head_dist.l')",,,levit_128s,,True,,
levit_192,https://dl.fbaipublicfiles.com/LeViT/LeViT-192-92712e41.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.0.c,"('head.l', 'head_dist.l')",,,levit_192,,True,,
levit_256,https://dl.fbaipublicfiles.com/LeViT/LeViT-256-13b5763e.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.0.c,"('head.l', 'head_dist.l')",,,levit_256,,True,,
levit_384,https://dl.fbaipublicfiles.com/LeViT/LeViT-384-9bdaf2e2.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.0.c,"('head.l', 'head_dist.l')",,,levit_384,,True,,
mixer_b16_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_mixer_b16_224-76587d61.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_b16_224,,True,,
mixer_b16_224_in21k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_mixer_b16_224_in21k-617b3de2.pth,21843,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_b16_224_in21k,,True,,
mixer_b16_224_miil,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/model-zoo/ImageNet_21K_P/models/timm/mixer_b16_224_miil.pth,1000,"(3, 224, 224)",,0.875,bilinear,"(0, 0, 0)","(1, 1, 1)",stem.proj,head,,,mixer_b16_224_miil,,True,,
mixer_b16_224_miil_in21k,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/model-zoo/ImageNet_21K_P/models/timm/mixer_b16_224_miil_in21k.pth,11221,"(3, 224, 224)",,0.875,bilinear,"(0, 0, 0)","(1, 1, 1)",stem.proj,head,,,mixer_b16_224_miil_in21k,,True,,
mixer_b32_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_b32_224,,True,,
mixer_l16_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_mixer_l16_224-92f9adc4.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_l16_224,,True,,
mixer_l16_224_in21k,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_mixer_l16_224_in21k-846aa33c.pth,21843,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_l16_224_in21k,,True,,
mixer_l32_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_l32_224,,True,,
mixer_s16_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_s16_224,,True,,
mixer_s32_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,mixer_s32_224,,True,,
mixnet_l,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mixnet_l-5a9a2ed8.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mixnet_l,,,,
mixnet_m,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mixnet_m-4647fc68.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mixnet_m,,,,
mixnet_s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mixnet_s-a907afbc.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mixnet_s,,,,
mixnet_xl,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mixnet_xl_ra-aac3c00c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mixnet_xl,,,,
mixnet_xxl,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mixnet_xxl,,,,
mnasnet_050,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_050,,,,
mnasnet_075,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_075,,,,
mnasnet_100,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mnasnet_b1-74cb7081.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_100,,,,
mnasnet_140,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_140,,,,
mnasnet_a1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mnasnet_a1-d9418771.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,semnasnet_100,,,,
mnasnet_b1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mnasnet_b1-74cb7081.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_100,,,,
mnasnet_small,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mnasnet_small,,,,
mobilenetv2_100,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv2_100_ra-b33bc2c4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv2_100,,,,
mobilenetv2_110d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv2_110d_ra-77090ade.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv2_110d,,,,
mobilenetv2_120d,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv2_120d_ra-5987e2ed.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv2_120d,,,,
mobilenetv2_140,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv2_140_ra-21a4e913.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv2_140,,,,
mobilenetv3_large_075,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv3_large_075,,,,
mobilenetv3_large_100,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv3_large_100_ra-f55367f5.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv3_large_100,,,,
mobilenetv3_large_100_miil,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/model-zoo/ImageNet_21K_P/models/timm/mobilenetv3_large_100_1k_miil_78_0.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0, 0, 0)","(1, 1, 1)",conv_stem,classifier,,,mobilenetv3_large_100_miil,,,,
mobilenetv3_large_100_miil_in21k,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/model-zoo/ImageNet_21K_P/models/timm/mobilenetv3_large_100_in21k_miil.pth,11221,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0, 0, 0)","(1, 1, 1)",conv_stem,classifier,,,mobilenetv3_large_100_miil_in21k,,,,
mobilenetv3_rw,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/mobilenetv3_100-35495452.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv3_rw,,,,
mobilenetv3_small_075,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv3_small_075,,,,
mobilenetv3_small_100,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,mobilenetv3_small_100,,,,
nasnetalarge,http://data.lip6.fr/cadene/pretrainedmodels/nasnetalarge-a1897284.pth,1000,"(3, 331, 331)","(11, 11)",0.911,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv0.conv,last_linear,,1.0,nasnetalarge,,,,
nf_ecaresnet26,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_ecaresnet26,,,,
nf_ecaresnet50,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_ecaresnet50,,,,
nf_ecaresnet101,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_ecaresnet101,,,,
nf_regnet_b0,,1000,"(3, 192, 192)","(6, 6)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b0,,,"(3, 256, 256)",
nf_regnet_b1,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/nf_regnet_b1_256_ra2-ad85cfef.pth,1000,"(3, 256, 256)","(8, 8)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b1,,,"(3, 288, 288)",
nf_regnet_b2,,1000,"(3, 240, 240)","(8, 8)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b2,,,"(3, 272, 272)",
nf_regnet_b3,,1000,"(3, 288, 288)","(9, 9)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b3,,,"(3, 320, 320)",
nf_regnet_b4,,1000,"(3, 320, 320)","(10, 10)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b4,,,"(3, 384, 384)",
nf_regnet_b5,,1000,"(3, 384, 384)","(12, 12)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_regnet_b5,,,"(3, 456, 456)",
nf_resnet26,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_resnet26,,,,
nf_resnet50,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/nf_resnet50_ra2-9f236009.pth,1000,"(3, 256, 256)","(8, 8)",0.94,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_resnet50,,,"(3, 288, 288)",
nf_resnet101,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_resnet101,,,,
nf_seresnet26,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_seresnet26,,,,
nf_seresnet50,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_seresnet50,,,,
nf_seresnet101,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,nf_seresnet101,,,,
nfnet_f0,,1000,"(3, 192, 192)","(6, 6)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f0,,,"(3, 256, 256)",
nfnet_f0s,,1000,"(3, 192, 192)","(6, 6)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f0s,,,"(3, 256, 256)",
nfnet_f1,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f1,,,"(3, 320, 320)",
nfnet_f1s,,1000,"(3, 224, 224)","(7, 7)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f1s,,,"(3, 320, 320)",
nfnet_f2,,1000,"(3, 256, 256)","(8, 8)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f2,,,"(3, 352, 352)",
nfnet_f2s,,1000,"(3, 256, 256)","(8, 8)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f2s,,,"(3, 352, 352)",
nfnet_f3,,1000,"(3, 320, 320)","(10, 10)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f3,,,"(3, 416, 416)",
nfnet_f3s,,1000,"(3, 320, 320)","(10, 10)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f3s,,,"(3, 416, 416)",
nfnet_f4,,1000,"(3, 384, 384)","(12, 12)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f4,,,"(3, 512, 512)",
nfnet_f4s,,1000,"(3, 384, 384)","(12, 12)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f4s,,,"(3, 512, 512)",
nfnet_f5,,1000,"(3, 416, 416)","(13, 13)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f5,,,"(3, 544, 544)",
nfnet_f5s,,1000,"(3, 416, 416)","(13, 13)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f5s,,,"(3, 544, 544)",
nfnet_f6,,1000,"(3, 448, 448)","(14, 14)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f6,,,"(3, 576, 576)",
nfnet_f6s,,1000,"(3, 448, 448)","(14, 14)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f6s,,,"(3, 576, 576)",
nfnet_f7,,1000,"(3, 480, 480)","(15, 15)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f7,,,"(3, 608, 608)",
nfnet_f7s,,1000,"(3, 480, 480)","(15, 15)",0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_f7s,,,"(3, 608, 608)",
nfnet_l0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/nfnet_l0_ra2-45c6688d.pth,1000,"(3, 224, 224)","(7, 7)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1,head.fc,,,nfnet_l0,,,"(3, 288, 288)",
pit_b_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_b_820.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,head,,,pit_b_224,,True,,
pit_b_distilled_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_b_distill_840.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,"('head', 'head_dist')",,,pit_b_distilled_224,,True,,
pit_s_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_s_809.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,head,,,pit_s_224,,True,,
pit_s_distilled_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_s_distill_819.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,"('head', 'head_dist')",,,pit_s_distilled_224,,True,,
pit_ti_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_ti_730.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,head,,,pit_ti_224,,True,,
pit_ti_distilled_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_ti_distill_746.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,"('head', 'head_dist')",,,pit_ti_distilled_224,,True,,
pit_xs_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_xs_781.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,head,,,pit_xs_224,,True,,
pit_xs_distilled_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-pit-weights/pit_xs_distill_791.pth,1000,"(3, 224, 224)",,0.9,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",patch_embed.conv,"('head', 'head_dist')",,,pit_xs_distilled_224,,True,,
pnasnet5large,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-cadene/pnasnet5large-bf079911.pth,1000,"(3, 331, 331)","(11, 11)",0.911,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv_0.conv,last_linear,,1.0,pnasnet5large,,,,
rednet26t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,rednet26t,"(3, 224, 224)",False,,
rednet50ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,rednet50ts,"(3, 224, 224)",False,,
regnetx_002,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_002-e7e85e5c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_002,,,,
regnetx_004,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_004-7d0e9424.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_004,,,,
regnetx_006,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_006-85ec1baa.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_006,,,,
regnetx_008,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_008-d8b470eb.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_008,,,,
regnetx_016,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_016-65ca972a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_016,,,,
regnetx_032,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_032-ed0c7f7e.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_032,,,,
regnetx_040,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_040-73c2a654.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_040,,,,
regnetx_064,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_064-29278baa.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_064,,,,
regnetx_080,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_080-7c7fcab1.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_080,,,,
regnetx_120,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_120-65d5521e.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_120,,,,
regnetx_160,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-regnet/regnetx_160-c98c4112.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,regnetx_160,,,,
